Curah Hujan (mm),Ketinggian Sungai (cm),Debit Air (m³/s),Luas Resapan (%),Drainase (skor 1-10),Kondisi Cuaca,Label
53,65,191,53,5,Hujan Ringan,Tidak
102,87,294,55,7,Hujan Sedang,Tidak
86,75,243,40,7,Hujan Sedang,Tidak
115,128,435,22,6,Hujan Berat,Banjir
58,69,206,28,7,Hujan Ringan,Tidak
88,91,312,59,5,Hujan Sedang,Tidak
88,112,358,32,6,Hujan Sedang,Banjir
194,158,470,40,2,Hujan Berat,Banjir
64,82,313,73,2,Hujan Ringan,Tidak
103,94,301,78,9,Hujan Sedang,Tidak
169,178,532,55,6,Hujan Berat,Banjir
67,68,261,78,9,Hujan Ringan,Tidak
187,157,446,30,4,Hujan Berat,Banjir
60,89,327,49,2,Hujan Sedang,Banjir
89,84,253,70,9,Hujan Sedang,Tidak
60,79,310,30,3,Hujan Ringan,Banjir
60,69,203,35,6,Hujan Sedang,Tidak
113,125,487,33,8,Hujan Berat,Banjir
76,79,307,21,3,Hujan Sedang,Banjir
34,50,215,71,6,Hujan Ringan,Tidak
56,69,247,27,2,Hujan Ringan,Banjir
119,119,413,51,5,Hujan Berat,Banjir
57,60,182,46,8,Hujan Ringan,Tidak
179,155,464,79,9,Hujan Berat,Banjir
197,167,567,74,4,Hujan Berat,Banjir
32,62,212,44,7,Hujan Ringan,Tidak
131,140,476,30,7,Hujan Berat,Banjir
160,158,641,69,2,Hujan Berat,Banjir
63,78,285,35,5,Hujan Ringan,Tidak
51,59,218,18,2,Hujan Ringan,Banjir
35,48,182,77,2,Hujan Ringan,Tidak
69,72,288,41,2,Hujan Sedang,Banjir
40,50,171,31,9,Hujan Ringan,Tidak
81,81,310,57,8,Hujan Sedang,Tidak
143,126,500,24,9,Hujan Berat,Banjir
85,105,308,70,7,Hujan Sedang,Tidak
30,49,186,27,5,Hujan Ringan,Tidak
100,93,378,56,9,Hujan Sedang,Tidak
57,89,357,24,5,Hujan Ringan,Banjir
109,126,345,35,9,Hujan Sedang,Banjir
32,50,217,73,6,Hujan Ringan,Tidak
107,102,311,20,6,Hujan Sedang,Banjir
87,80,275,59,7,Hujan Sedang,Tidak
154,154,577,50,9,Hujan Berat,Banjir
41,58,235,36,9,Hujan Ringan,Tidak
124,134,402,38,9,Hujan Berat,Banjir
54,74,243,42,9,Hujan Ringan,Tidak
103,118,418,59,7,Hujan Sedang,Banjir
69,75,302,42,2,Hujan Ringan,Banjir
74,91,245,42,8,Hujan Sedang,Tidak
112,132,355,64,9,Hujan Berat,Banjir
38,62,230,54,2,Hujan Ringan,Tidak
68,87,360,70,8,Hujan Ringan,Tidak
70,94,320,34,6,Hujan Sedang,Banjir
68,83,258,49,2,Hujan Ringan,Banjir
41,73,224,38,4,Hujan Ringan,Tidak
108,101,363,60,9,Hujan Sedang,Tidak
145,150,585,15,8,Hujan Berat,Banjir
113,119,441,77,3,Hujan Berat,Banjir
109,105,305,68,6,Hujan Sedang,Banjir
35,49,183,76,8,Hujan Ringan,Tidak
101,101,295,65,6,Hujan Sedang,Tidak
40,61,226,26,8,Hujan Ringan,Tidak
61,79,245,74,2,Hujan Ringan,Tidak
57,83,283,60,3,Hujan Ringan,Tidak
66,84,230,18,6,Hujan Sedang,Tidak
50,70,272,35,8,Hujan Ringan,Tidak
57,76,316,63,4,Hujan Ringan,Tidak
148,134,391,19,6,Hujan Berat,Banjir
115,112,370,56,4,Hujan Sedang,Banjir
67,67,291,48,2,Hujan Ringan,Banjir
70,67,288,16,6,Hujan Sedang,Tidak
151,155,579,67,4,Hujan Berat,Banjir
100,111,483,27,8,Hujan Sedang,Banjir
34,50,183,73,2,Hujan Ringan,Tidak
94,100,323,17,2,Hujan Sedang,Banjir
116,120,386,67,2,Hujan Sedang,Banjir
99,102,329,61,3,Hujan Sedang,Banjir
34,46,212,40,2,Hujan Ringan,Tidak
97,111,334,16,6,Hujan Sedang,Banjir
31,56,202,77,5,Hujan Ringan,Tidak
163,162,620,23,3,Hujan Berat,Banjir
199,173,618,75,2,Hujan Berat,Banjir
83,88,280,79,5,Hujan Sedang,Tidak
69,90,248,64,2,Hujan Ringan,Tidak
39,46,131,50,8,Hujan Ringan,Tidak
118,110,410,74,7,Hujan Sedang,Banjir
67,61,177,63,5,Hujan Ringan,Tidak
77,101,277,30,2,Hujan Sedang,Banjir
106,120,371,56,7,Hujan Sedang,Banjir
111,100,364,61,8,Hujan Sedang,Banjir
58,73,222,66,6,Hujan Ringan,Tidak
129,130,451,74,3,Hujan Berat,Banjir
65,64,210,33,5,Hujan Ringan,Tidak
87,95,341,19,6,Hujan Sedang,Banjir
66,63,215,20,7,Hujan Ringan,Tidak
145,120,466,74,9,Hujan Berat,Banjir
166,179,633,72,7,Hujan Berat,Banjir
65,92,389,50,5,Hujan Ringan,Banjir
62,83,255,27,4,Hujan Sedang,Banjir
165,166,592,67,4,Hujan Berat,Banjir
110,106,362,43,4,Hujan Sedang,Banjir
86,91,295,41,2,Hujan Sedang,Banjir
54,65,252,74,6,Hujan Ringan,Tidak
38,66,215,20,9,Hujan Ringan,Tidak
60,78,268,29,6,Hujan Ringan,Tidak
42,58,256,26,2,Hujan Ringan,Tidak
70,72,231,47,6,Hujan Sedang,Tidak
184,146,546,77,7,Hujan Berat,Banjir
151,147,504,50,2,Hujan Berat,Banjir
44,61,219,39,9,Hujan Ringan,Tidak
189,176,481,26,5,Hujan Berat,Banjir
80,93,404,60,4,Hujan Sedang,Banjir
72,94,420,29,3,Hujan Sedang,Banjir
71,99,365,48,9,Hujan Sedang,Tidak
82,86,245,68,3,Hujan Sedang,Tidak
106,104,413,49,2,Hujan Sedang,Banjir
55,70,203,61,6,Hujan Ringan,Tidak
44,60,265,20,2,Hujan Ringan,Banjir
31,59,251,35,2,Hujan Ringan,Tidak
174,189,767,55,2,Hujan Berat,Banjir
53,65,215,18,7,Hujan Ringan,Tidak
31,57,247,57,3,Hujan Ringan,Tidak
114,129,434,15,3,Hujan Sedang,Banjir
96,89,314,17,6,Hujan Sedang,Banjir
103,115,418,20,5,Hujan Sedang,Banjir
42,58,246,24,5,Hujan Ringan,Tidak
53,67,270,41,5,Hujan Ringan,Tidak
70,84,281,46,6,Hujan Sedang,Tidak
67,89,279,77,7,Hujan Sedang,Tidak
163,120,382,75,6,Hujan Berat,Banjir
59,61,253,71,8,Hujan Ringan,Tidak
168,151,515,34,3,Hujan Berat,Banjir
71,94,256,59,8,Hujan Sedang,Tidak
181,153,580,43,8,Hujan Berat,Banjir
58,69,222,78,4,Hujan Ringan,Tidak
59,78,314,45,7,Hujan Ringan,Tidak
33,58,183,26,7,Hujan Ringan,Tidak
87,108,361,76,5,Hujan Sedang,Banjir
62,84,307,39,8,Hujan Ringan,Tidak
36,67,190,59,3,Hujan Ringan,Tidak
104,106,439,78,8,Hujan Sedang,Tidak
117,107,360,59,4,Hujan Berat,Banjir
110,101,412,71,7,Hujan Sedang,Banjir
110,101,319,75,4,Hujan Berat,Banjir
44,48,174,79,6,Hujan Ringan,Tidak
46,69,307,40,4,Hujan Ringan,Tidak
138,132,541,66,6,Hujan Berat,Banjir
37,60,179,29,4,Hujan Ringan,Tidak
168,178,546,18,5,Hujan Berat,Banjir
147,128,471,33,3,Hujan Berat,Banjir
69,81,307,61,6,Hujan Sedang,Tidak
116,95,411,59,8,Hujan Sedang,Banjir
111,122,472,17,2,Hujan Berat,Banjir
147,119,350,41,7,Hujan Berat,Banjir
32,49,179,74,5,Hujan Ringan,Tidak
102,116,351,20,7,Hujan Sedang,Banjir
73,89,313,36,7,Hujan Sedang,Tidak
42,70,303,46,6,Hujan Ringan,Tidak
61,72,262,64,9,Hujan Ringan,Tidak
56,70,232,79,3,Hujan Ringan,Tidak
48,60,219,63,9,Hujan Ringan,Tidak
166,164,441,59,2,Hujan Berat,Banjir
47,68,278,30,8,Hujan Ringan,Tidak
88,90,369,15,3,Hujan Sedang,Banjir
31,45,173,53,9,Hujan Ringan,Tidak
49,70,241,15,8,Hujan Ringan,Tidak
76,88,326,18,6,Hujan Sedang,Banjir
153,137,404,31,6,Hujan Berat,Banjir
58,60,186,35,2,Hujan Ringan,Tidak
81,97,379,59,2,Hujan Sedang,Banjir
51,70,237,41,3,Hujan Ringan,Tidak
160,168,477,50,5,Hujan Berat,Banjir
183,193,555,23,6,Hujan Berat,Banjir
47,59,200,20,2,Hujan Ringan,Tidak
58,72,213,45,4,Hujan Ringan,Tidak
167,154,477,47,3,Hujan Berat,Banjir
65,72,248,19,9,Hujan Ringan,Tidak
63,77,286,51,4,Hujan Sedang,Tidak
140,124,377,73,7,Hujan Berat,Banjir
51,60,199,18,8,Hujan Ringan,Tidak
39,52,190,78,2,Hujan Ringan,Tidak
80,93,332,36,3,Hujan Sedang,Banjir
62,69,296,53,8,Hujan Ringan,Tidak
45,60,192,69,9,Hujan Ringan,Tidak
69,86,355,16,8,Hujan Sedang,Banjir
78,95,297,64,9,Hujan Sedang,Tidak
130,132,389,48,9,Hujan Berat,Banjir
61,62,205,62,2,Hujan Ringan,Tidak
162,172,710,70,5,Hujan Berat,Banjir
31,60,221,62,2,Hujan Ringan,Tidak
60,76,271,30,5,Hujan Ringan,Tidak
137,116,403,78,9,Hujan Berat,Banjir
105,96,408,34,3,Hujan Sedang,Banjir
82,101,327,45,7,Hujan Sedang,Tidak
146,125,326,32,3,Hujan Berat,Banjir
40,50,200,31,3,Hujan Ringan,Tidak
66,83,251,29,7,Hujan Sedang,Tidak
50,70,308,40,5,Hujan Ringan,Tidak
65,82,328,55,3,Hujan Sedang,Banjir
38,47,202,33,4,Hujan Ringan,Tidak
35,62,253,52,8,Hujan Ringan,Tidak
98,119,329,76,4,Hujan Sedang,Banjir
32,54,219,22,7,Hujan Ringan,Tidak
83,94,351,42,8,Hujan Sedang,Tidak
84,75,288,40,3,Hujan Sedang,Banjir
38,52,189,38,9,Hujan Ringan,Tidak
33,66,268,74,6,Hujan Ringan,Tidak
35,47,185,18,4,Hujan Ringan,Tidak
31,52,219,65,3,Hujan Ringan,Tidak
87,100,367,63,2,Hujan Sedang,Banjir
70,81,323,50,2,Hujan Sedang,Banjir
52,66,250,52,2,Hujan Ringan,Tidak
51,74,335,42,4,Hujan Ringan,Tidak
62,82,295,26,6,Hujan Ringan,Tidak
92,107,445,77,3,Hujan Sedang,Banjir
41,51,205,73,5,Hujan Ringan,Tidak
146,148,562,48,7,Hujan Berat,Banjir
131,114,349,58,4,Hujan Berat,Banjir
185,160,627,37,2,Hujan Berat,Banjir
57,58,221,56,2,Hujan Ringan,Tidak
52,73,279,27,3,Hujan Ringan,Banjir
129,137,466,68,7,Hujan Berat,Banjir
30,50,219,48,9,Hujan Ringan,Tidak
171,144,579,52,3,Hujan Berat,Banjir
67,66,260,60,8,Hujan Sedang,Tidak
170,141,551,52,4,Hujan Berat,Banjir
37,61,205,71,2,Hujan Ringan,Tidak
106,100,391,54,6,Hujan Sedang,Banjir
125,116,403,19,9,Hujan Berat,Banjir
106,98,281,68,2,Hujan Sedang,Banjir
46,69,279,73,8,Hujan Ringan,Tidak
171,183,610,16,3,Hujan Berat,Banjir
107,126,379,63,3,Hujan Sedang,Banjir
142,158,488,64,5,Hujan Berat,Banjir
90,92,373,20,9,Hujan Sedang,Banjir
98,115,445,70,9,Hujan Sedang,Tidak
82,99,371,47,2,Hujan Sedang,Banjir
57,75,247,30,6,Hujan Ringan,Tidak
40,45,168,47,3,Hujan Ringan,Tidak
73,81,240,63,8,Hujan Sedang,Tidak
36,61,261,19,8,Hujan Ringan,Tidak
41,54,225,34,3,Hujan Ringan,Tidak
74,96,289,72,4,Hujan Sedang,Tidak
111,103,397,73,5,Hujan Sedang,Banjir
100,101,385,63,3,Hujan Sedang,Banjir
69,94,315,66,3,Hujan Sedang,Tidak
86,86,241,69,2,Hujan Sedang,Tidak
32,46,164,37,9,Hujan Ringan,Tidak
148,155,639,78,3,Hujan Berat,Banjir
63,74,279,56,3,Hujan Ringan,Tidak
112,124,372,22,9,Hujan Sedang,Banjir
31,48,164,39,3,Hujan Ringan,Tidak
62,81,279,15,3,Hujan Ringan,Banjir
88,107,387,53,3,Hujan Sedang,Banjir
81,85,362,15,6,Hujan Sedang,Banjir
114,111,362,65,2,Hujan Berat,Banjir
44,58,222,37,9,Hujan Ringan,Tidak
50,75,301,36,3,Hujan Ringan,Tidak
52,58,257,30,5,Hujan Ringan,Tidak
67,81,258,46,2,Hujan Ringan,Banjir
39,45,168,44,6,Hujan Ringan,Tidak
93,118,491,44,8,Hujan Sedang,Banjir
69,92,298,62,9,Hujan Ringan,Tidak
88,111,411,29,6,Hujan Sedang,Banjir
61,70,271,19,9,Hujan Sedang,Tidak
98,108,302,56,4,Hujan Sedang,Banjir
64,75,302,57,8,Hujan Ringan,Tidak
102,99,291,48,4,Hujan Sedang,Banjir
136,109,361,37,5,Hujan Berat,Banjir
33,58,231,39,6,Hujan Ringan,Tidak
47,57,216,62,4,Hujan Ringan,Tidak
97,99,321,54,2,Hujan Sedang,Banjir
171,149,500,31,9,Hujan Berat,Banjir
95,91,330,45,6,Hujan Sedang,Banjir
143,127,379,37,4,Hujan Berat,Banjir
70,86,384,16,4,Hujan Sedang,Banjir
53,69,301,65,6,Hujan Ringan,Tidak
52,64,227,18,7,Hujan Ringan,Tidak
87,81,327,28,5,Hujan Sedang,Banjir
75,86,313,55,8,Hujan Sedang,Tidak
184,149,554,26,4,Hujan Berat,Banjir
106,87,298,23,5,Hujan Sedang,Banjir
98,94,264,16,7,Hujan Sedang,Banjir
77,96,339,72,2,Hujan Sedang,Banjir
35,46,200,39,3,Hujan Ringan,Tidak
37,62,252,37,6,Hujan Ringan,Tidak
106,123,347,66,6,Hujan Sedang,Banjir
85,78,300,48,5,Hujan Sedang,Tidak
56,58,233,40,8,Hujan Ringan,Tidak
199,176,501,70,3,Hujan Berat,Banjir
192,163,614,29,3,Hujan Berat,Banjir
56,65,228,24,8,Hujan Ringan,Tidak
177,160,498,27,7,Hujan Berat,Banjir
92,89,359,24,2,Hujan Sedang,Banjir
98,98,292,17,9,Hujan Sedang,Banjir
36,68,220,66,3,Hujan Ringan,Tidak
95,95,302,15,9,Hujan Sedang,Banjir
57,71,198,16,2,Hujan Ringan,Banjir
127,131,416,17,2,Hujan Berat,Banjir
75,104,314,63,6,Hujan Sedang,Tidak
45,58,218,17,5,Hujan Ringan,Tidak
35,44,141,59,2,Hujan Ringan,Tidak
41,61,253,35,4,Hujan Ringan,Tidak
117,111,380,59,9,Hujan Sedang,Banjir
47,55,257,69,2,Hujan Ringan,Tidak
48,56,185,50,9,Hujan Ringan,Tidak
172,133,445,17,7,Hujan Berat,Banjir
39,57,164,57,4,Hujan Ringan,Tidak
109,108,432,28,2,Hujan Sedang,Banjir
66,80,279,66,5,Hujan Sedang,Tidak
66,90,312,38,9,Hujan Ringan,Tidak
114,127,375,33,4,Hujan Sedang,Banjir
61,65,195,65,2,Hujan Sedang,Tidak
52,61,205,41,4,Hujan Ringan,Tidak
87,99,306,18,6,Hujan Sedang,Banjir
119,122,478,74,5,Hujan Sedang,Banjir
91,103,308,22,4,Hujan Sedang,Banjir
187,195,539,75,4,Hujan Berat,Banjir
32,58,230,20,4,Hujan Ringan,Tidak
42,58,178,69,8,Hujan Ringan,Tidak
71,83,300,68,7,Hujan Sedang,Tidak
32,61,202,41,4,Hujan Ringan,Tidak
113,116,365,19,7,Hujan Sedang,Banjir
39,54,223,71,3,Hujan Ringan,Tidak
173,151,632,17,5,Hujan Berat,Banjir
48,68,205,17,4,Hujan Ringan,Tidak
151,138,549,23,9,Hujan Berat,Banjir
66,95,343,42,2,Hujan Sedang,Banjir
94,98,425,56,8,Hujan Sedang,Banjir
37,52,153,30,6,Hujan Ringan,Tidak
47,64,256,62,5,Hujan Ringan,Tidak
82,108,304,35,2,Hujan Sedang,Banjir
52,61,228,50,5,Hujan Ringan,Tidak
50,62,206,47,7,Hujan Ringan,Tidak
83,99,275,27,8,Hujan Sedang,Tidak
114,115,405,24,7,Hujan Sedang,Banjir
153,139,468,38,8,Hujan Berat,Banjir
60,77,296,33,7,Hujan Ringan,Tidak
51,57,196,33,6,Hujan Ringan,Tidak
129,134,445,68,6,Hujan Berat,Banjir
76,95,356,39,4,Hujan Sedang,Banjir
81,102,312,40,9,Hujan Sedang,Tidak
99,83,291,27,8,Hujan Sedang,Banjir
121,115,480,60,9,Hujan Berat,Banjir
30,44,148,54,6,Hujan Ringan,Tidak
63,83,274,73,3,Hujan Ringan,Tidak
62,86,252,15,9,Hujan Sedang,Tidak
40,61,250,39,9,Hujan Ringan,Tidak
84,79,320,68,6,Hujan Sedang,Tidak
47,64,236,48,3,Hujan Ringan,Tidak
119,104,429,27,7,Hujan Sedang,Banjir
70,72,271,73,8,Hujan Sedang,Tidak
38,61,214,25,8,Hujan Ringan,Tidak
117,125,449,19,4,Hujan Sedang,Banjir
76,96,302,64,7,Hujan Sedang,Tidak
158,160,614,30,7,Hujan Berat,Banjir
54,72,228,49,9,Hujan Ringan,Tidak
50,59,180,56,6,Hujan Ringan,Tidak
63,76,242,44,7,Hujan Sedang,Tidak
62,87,333,41,2,Hujan Ringan,Banjir
67,74,269,62,6,Hujan Ringan,Tidak
184,166,664,61,4,Hujan Berat,Banjir
76,105,386,49,7,Hujan Sedang,Banjir
144,135,478,48,8,Hujan Berat,Banjir
65,76,206,75,6,Hujan Ringan,Tidak
107,119,442,33,9,Hujan Sedang,Banjir
153,139,507,18,7,Hujan Berat,Banjir
66,71,283,71,2,Hujan Ringan,Tidak
100,91,257,64,4,Hujan Sedang,Banjir
55,67,268,49,8,Hujan Ringan,Tidak
93,79,321,26,4,Hujan Sedang,Banjir
48,70,243,19,7,Hujan Ringan,Tidak
103,109,422,55,8,Hujan Sedang,Banjir
47,48,175,78,5,Hujan Ringan,Tidak
49,57,207,16,4,Hujan Ringan,Tidak
86,93,383,32,5,Hujan Sedang,Banjir
69,75,270,51,8,Hujan Ringan,Tidak
51,68,245,68,7,Hujan Ringan,Tidak
150,114,359,57,6,Hujan Berat,Banjir
30,51,169,76,5,Hujan Ringan,Tidak
31,46,183,28,8,Hujan Ringan,Tidak
102,87,268,39,5,Hujan Sedang,Banjir
62,70,288,49,2,Hujan Ringan,Banjir
59,69,281,22,4,Hujan Ringan,Banjir
69,77,252,58,5,Hujan Ringan,Tidak
61,85,234,55,8,Hujan Ringan,Tidak
116,113,469,41,8,Hujan Sedang,Banjir
44,62,255,59,8,Hujan Ringan,Tidak
166,143,563,69,5,Hujan Berat,Banjir
114,107,345,25,4,Hujan Sedang,Banjir
56,71,292,26,5,Hujan Ringan,Tidak
72,96,381,40,6,Hujan Sedang,Banjir
111,119,350,44,4,Hujan Sedang,Banjir
79,90,265,76,4,Hujan Sedang,Tidak
66,68,244,41,6,Hujan Ringan,Tidak
82,103,418,36,9,Hujan Sedang,Banjir
139,134,529,77,9,Hujan Berat,Banjir
104,102,426,54,9,Hujan Sedang,Banjir
179,170,579,72,8,Hujan Berat,Banjir
117,110,381,73,3,Hujan Sedang,Banjir
114,108,435,75,5,Hujan Sedang,Banjir
169,134,399,29,6,Hujan Berat,Banjir
94,115,420,52,4,Hujan Sedang,Banjir
59,65,213,38,7,Hujan Ringan,Tidak
111,119,482,79,6,Hujan Sedang,Banjir
79,86,271,78,3,Hujan Sedang,Tidak
109,100,320,63,6,Hujan Sedang,Banjir
83,98,343,32,8,Hujan Sedang,Banjir
43,51,210,16,8,Hujan Ringan,Tidak
30,55,205,19,6,Hujan Ringan,Tidak
48,69,276,20,7,Hujan Ringan,Tidak
68,81,273,49,4,Hujan Ringan,Tidak
105,118,478,18,6,Hujan Sedang,Banjir
94,110,378,65,2,Hujan Sedang,Banjir
50,70,279,47,9,Hujan Ringan,Tidak
165,150,464,53,8,Hujan Berat,Banjir
51,74,309,15,2,Hujan Ringan,Banjir
83,86,273,43,2,Hujan Sedang,Banjir
156,150,606,58,9,Hujan Berat,Banjir
114,125,425,34,9,Hujan Sedang,Banjir
97,110,396,29,9,Hujan Sedang,Banjir
89,91,283,54,7,Hujan Sedang,Tidak
45,63,261,38,7,Hujan Ringan,Tidak
76,105,308,58,6,Hujan Sedang,Tidak
62,72,241,16,9,Hujan Ringan,Tidak
112,123,391,36,4,Hujan Berat,Banjir
171,137,436,44,3,Hujan Berat,Banjir
75,90,359,25,3,Hujan Sedang,Banjir
36,61,228,40,9,Hujan Ringan,Tidak
40,67,242,63,2,Hujan Ringan,Tidak
42,56,263,45,7,Hujan Ringan,Tidak
82,93,347,50,6,Hujan Sedang,Banjir
41,47,205,74,9,Hujan Ringan,Tidak
50,74,229,54,6,Hujan Ringan,Tidak
69,78,257,49,6,Hujan Ringan,Tidak
103,95,274,72,8,Hujan Sedang,Tidak
114,126,431,20,8,Hujan Sedang,Banjir
157,120,412,66,5,Hujan Berat,Banjir
66,81,244,47,3,Hujan Ringan,Tidak
137,129,560,34,6,Hujan Berat,Banjir
52,60,180,30,7,Hujan Ringan,Tidak
116,114,434,64,6,Hujan Berat,Banjir
80,93,374,72,4,Hujan Sedang,Banjir
36,59,189,61,7,Hujan Ringan,Tidak
184,169,659,51,3,Hujan Berat,Banjir
75,79,261,64,8,Hujan Sedang,Tidak
83,88,275,29,4,Hujan Sedang,Banjir
63,88,301,33,6,Hujan Sedang,Tidak
35,55,192,56,4,Hujan Ringan,Tidak
51,62,264,19,9,Hujan Ringan,Tidak
74,80,251,47,5,Hujan Sedang,Tidak
105,119,376,43,9,Hujan Sedang,Banjir
116,137,560,74,4,Hujan Sedang,Banjir
37,55,244,27,7,Hujan Ringan,Tidak
64,71,276,56,4,Hujan Sedang,Tidak
133,143,500,36,9,Hujan Berat,Banjir
88,89,310,54,4,Hujan Sedang,Banjir
190,195,652,47,2,Hujan Berat,Banjir
139,139,434,39,8,Hujan Berat,Banjir
57,77,280,75,7,Hujan Ringan,Tidak
62,74,249,28,2,Hujan Ringan,Banjir
40,71,293,79,9,Hujan Ringan,Tidak
65,74,271,21,9,Hujan Sedang,Tidak
43,54,181,71,6,Hujan Ringan,Tidak
54,52,178,75,4,Hujan Ringan,Tidak
52,62,197,72,2,Hujan Ringan,Tidak
44,65,216,51,3,Hujan Ringan,Tidak
62,73,258,18,6,Hujan Ringan,Tidak
64,94,353,27,4,Hujan Ringan,Banjir
35,55,205,38,5,Hujan Ringan,Tidak
100,109,311,79,8,Hujan Sedang,Tidak
61,85,332,48,3,Hujan Sedang,Banjir
148,143,501,75,5,Hujan Berat,Banjir
107,100,387,55,9,Hujan Sedang,Tidak
119,125,441,56,9,Hujan Berat,Banjir
88,92,323,58,6,Hujan Sedang,Tidak
64,92,250,18,5,Hujan Sedang,Banjir
67,83,248,74,4,Hujan Sedang,Tidak
134,138,404,78,7,Hujan Berat,Banjir
62,72,222,68,5,Hujan Ringan,Tidak
168,146,498,46,6,Hujan Berat,Banjir
103,91,339,51,7,Hujan Sedang,Banjir
99,105,357,41,7,Hujan Sedang,Banjir
86,85,224,64,8,Hujan Sedang,Tidak
113,136,496,21,7,Hujan Sedang,Banjir
53,72,270,55,6,Hujan Ringan,Tidak
46,57,158,35,8,Hujan Ringan,Tidak
49,59,212,66,6,Hujan Ringan,Tidak
140,152,523,70,8,Hujan Berat,Banjir
44,58,176,27,5,Hujan Ringan,Tidak
62,80,283,58,9,Hujan Ringan,Tidak
109,103,448,26,9,Hujan Sedang,Banjir
98,98,312,38,5,Hujan Sedang,Banjir
57,87,295,21,7,Hujan Ringan,Tidak
58,63,188,32,2,Hujan Ringan,Tidak
93,99,385,39,3,Hujan Sedang,Banjir
135,138,388,59,4,Hujan Berat,Banjir
95,97,264,36,7,Hujan Sedang,Banjir
162,132,488,51,6,Hujan Berat,Banjir
37,49,241,32,7,Hujan Ringan,Tidak
104,117,462,28,9,Hujan Sedang,Banjir
198,165,481,54,6,Hujan Berat,Banjir
194,168,461,78,9,Hujan Berat,Banjir
92,84,274,59,2,Hujan Sedang,Banjir
104,103,302,43,5,Hujan Sedang,Banjir
83,96,256,25,7,Hujan Sedang,Banjir
91,80,296,21,6,Hujan Sedang,Banjir
189,141,408,23,4,Hujan Berat,Banjir
83,97,382,50,7,Hujan Sedang,Banjir
39,63,196,27,4,Hujan Ringan,Tidak
67,76,304,33,8,Hujan Ringan,Tidak
150,137,495,38,9,Hujan Berat,Banjir
89,85,336,66,3,Hujan Sedang,Banjir
61,74,285,64,7,Hujan Ringan,Tidak
77,78,308,55,9,Hujan Sedang,Tidak
65,87,295,78,5,Hujan Ringan,Tidak
54,68,274,41,6,Hujan Ringan,Tidak
35,55,226,45,2,Hujan Ringan,Tidak
68,96,403,52,5,Hujan Sedang,Banjir
41,54,251,79,3,Hujan Ringan,Tidak
68,66,230,62,2,Hujan Sedang,Tidak
133,152,477,33,5,Hujan Berat,Banjir
136,127,511,35,5,Hujan Berat,Banjir
57,72,244,26,8,Hujan Ringan,Tidak
117,136,388,71,2,Hujan Sedang,Banjir
66,81,228,39,4,Hujan Sedang,Tidak
189,172,486,50,5,Hujan Berat,Banjir
115,112,454,39,9,Hujan Sedang,Banjir
127,114,323,29,2,Hujan Berat,Banjir
101,108,413,71,9,Hujan Sedang,Tidak
80,92,312,49,5,Hujan Sedang,Banjir
71,76,308,36,6,Hujan Sedang,Tidak
58,71,311,26,6,Hujan Ringan,Tidak
64,76,251,33,3,Hujan Sedang,Banjir
46,62,195,36,3,Hujan Ringan,Tidak
113,115,381,21,2,Hujan Sedang,Banjir
62,71,215,25,5,Hujan Ringan,Tidak
30,45,188,79,5,Hujan Ringan,Tidak
158,129,388,49,9,Hujan Berat,Banjir
37,49,191,49,2,Hujan Ringan,Tidak
118,117,484,36,3,Hujan Berat,Banjir
84,89,272,41,5,Hujan Sedang,Banjir
81,90,268,20,2,Hujan Sedang,Banjir
90,100,281,36,6,Hujan Sedang,Banjir
58,65,241,73,8,Hujan Ringan,Tidak
153,150,438,39,7,Hujan Berat,Banjir
45,52,219,79,6,Hujan Ringan,Tidak
64,73,321,38,7,Hujan Sedang,Tidak
70,93,383,26,8,Hujan Sedang,Banjir
81,83,347,20,4,Hujan Sedang,Banjir
90,112,461,52,2,Hujan Sedang,Banjir
60,74,248,42,7,Hujan Sedang,Tidak
38,51,242,79,7,Hujan Ringan,Tidak
61,78,244,76,2,Hujan Ringan,Tidak
51,64,233,52,8,Hujan Ringan,Tidak
87,108,467,56,5,Hujan Sedang,Banjir
67,84,348,30,9,Hujan Ringan,Tidak
33,61,244,67,6,Hujan Ringan,Tidak
131,103,415,37,6,Hujan Berat,Banjir
34,44,163,56,2,Hujan Ringan,Tidak
71,71,249,69,5,Hujan Sedang,Tidak
95,115,449,76,6,Hujan Sedang,Banjir
96,111,386,17,5,Hujan Sedang,Banjir
40,49,222,50,7,Hujan Ringan,Tidak
32,48,153,15,2,Hujan Ringan,Tidak
110,124,366,62,4,Hujan Sedang,Banjir
57,68,261,63,9,Hujan Ringan,Tidak
178,152,452,27,2,Hujan Berat,Banjir
175,157,592,44,7,Hujan Berat,Banjir
80,81,286,72,5,Hujan Sedang,Tidak
116,110,477,25,7,Hujan Sedang,Banjir
64,73,236,40,2,Hujan Ringan,Banjir
167,133,567,37,5,Hujan Berat,Banjir
117,129,426,71,2,Hujan Sedang,Banjir
122,106,347,66,2,Hujan Berat,Banjir
71,89,354,49,2,Hujan Sedang,Banjir
92,94,277,60,3,Hujan Sedang,Banjir
58,83,239,42,3,Hujan Ringan,Tidak
91,90,280,77,4,Hujan Sedang,Tidak
145,157,505,36,7,Hujan Berat,Banjir
188,167,459,24,5,Hujan Berat,Banjir
55,71,269,74,8,Hujan Ringan,Tidak
34,44,134,68,5,Hujan Ringan,Tidak
62,85,344,38,3,Hujan Ringan,Banjir
